Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
City of Kigali,Gasabo,Nduba,GasaboNduba,"25,370","68,424","19,127","19,890","14,482","14,925",3.841078955,10157.82296,7655.921773,28.45445241,69.08904811,0,0.204708291,0,0.102354145,0,2.149437052,99,1.1,0,0
City of Kigali,Gasabo,Remera,GasaboRemera,"43,279","38,648","20,300","18,348",,,3.114521746,12408.96778,0,3.176151484,77.55957011,0,6.659672467,0.922108495,1.024564995,0.1024565,10.65547595,97.1,2.5,0.3,0.1
City of Kigali,Gasabo,Rusororo,GasaboRusororo,"35,453","61,787","19,939","19,976","10,873","10,999",3.702522523,10780.4881,5907.323957,14.9611828,74.37537634,0.107634409,1.183978495,0.215268817,0.75344086,0.107634409,8.395483871,99.2,0.5,0.1,0
City of Kigali,Gasabo,Rutunga,GasaboRutunga,"17,906","22,468",,,"10,865","11,603",3.994837102,0,5624.25937,69.13813814,26.85365365,0,0.1002002,0,0.1002002,0.1002002,3.807607608,94.9949,5.1051,0,0
Eastern Province,Gatsibo,Gasange,GatsiboGasange,"17,783","20,725",,,"10,054","10,671",4.27710097,0,4845.571835,79.9799,17.9179,0,0,0,0.1001,0,2.1021,100,0,0,0
Eastern Province,Gatsibo,Gatsibo,GatsiboGatsibo,"36,690","40,940","3,245","3,405","16,373","17,917",4.282008192,1553.00964,8007.924894,41.88376754,55.61122244,0,0,0,0.200400802,0,2.304609218,96.6,3.3,0,0
Eastern Province,Gatsibo,Gitoki,GatsiboGitoki,"33,409","43,414","3,033","3,276","17,657","19,448",3.999539001,1577.431799,9277.31921,26.62662663,72.47247247,0,0,0,0.3003003,0,0.600600601,98.6,1.4,0,0
Eastern Province,Gatsibo,Kabarore,GatsiboKabarore,"50,288","71,769","7,334","7,956","27,264","29,215",4.126168224,3705.617214,13688.00227,6.920720721,89.56816817,0.1003003,0.1003003,0.200600601,0.401201201,0,2.908708709,99.6997996,0.2002004,0,0
Eastern Province,Gatsibo,Kageyo,GatsiboKageyo,"21,567","24,702",,,"11,849","12,853",3.919923737,0,6301.65321,54.20852558,37.97602808,0,0,0,0.501003009,0,7.21444333,87.8,12,0,0
Eastern Province,Gatsibo,Kiramuruzi,GatsiboKiramuruzi,"31,083","40,028","5,298","5,446","13,801","15,483",3.922797724,2738.861587,7465.080297,42.72818455,54.36308927,0,0.300902708,0,0.300902708,0,2.306920762,99.9,0.1,0,0
Eastern Province,Gatsibo,Kiziguro,GatsiboKiziguro,"29,996","39,757","2,746","2,987","16,178","17,846",3.974081857,1442.597361,8561.474379,46.01370968,51.36179435,0,0.100907258,0,0.807258065,0,1.816330645,99.9,0.1,0,0
Eastern Province,Gatsibo,Muhura,GatsiboMuhura,"29,568","33,325",,,"16,046","17,279",3.980507056,0,8372.048971,71.71471471,19.05705706,0,0,0,0.601801802,0,8.826426426,99.9,0.1,0,0
Eastern Province,Gatsibo,Murambi,GatsiboMurambi,"29,032","38,498",,,"18,436","20,062",4.171273713,0,9229.315229,59.7597,38.7387,0,0,0,0.2002,0,1.4014,99.9,0.1,0,0
Eastern Province,Gatsibo,Ngarama,GatsiboNgarama,"30,354","38,006","3,832","3,505","14,521","16,148",3.839818818,1910.767239,7987.095603,6.962727273,91.42363636,0,0,0,0.201818182,0,1.311818182,99,0.9,0,0
Eastern Province,Gatsibo,Nyagihanga,GatsiboNyagihanga,"24,159","28,812",,,"13,858","14,954",3.823529412,0,7535.446154,18.11813627,81.18126253,0,0,0,0.1001002,0,0.500501002,99.3,0.7,0,0
Eastern Province,Gatsibo,Remera,GatsiboRemera,"26,110","31,771",,,"15,122","16,649",3.930543519,0,8083.106026,53.65370741,41.54158317,0,0.1001002,0,0.400400802,0,4.204208417,99.9,0,0,0
Eastern Province,Gatsibo,Rugarama,GatsiboRugarama,"37,029","49,442","1,329","1,397","22,296","24,420",3.958593625,688.6284015,11801.16082,10.94373119,88.25265797,0,0,0,0.200802407,0,0.702808425,99.2,0.8,0,0
Eastern Province,Gatsibo,Rwimbogo,GatsiboRwimbogo,"35,952","49,975",265,297,"23,924","25,489",4.236851035,132.6456832,11662.67107,4.40882648,94.1885657,0.300601805,0,0,0.400802407,0,0.601203611,99.7996988,0.1003012,0,0
Northern Province,Gicumbi,Bukure,GicumbiBukure,"17,402","20,454",,,"9,943","10,511",4.277335568,0,4781.948874,58.87662989,39.91975928,0,0,0,0.200601805,0,1.003009027,99.9,0.1,0,0
Northern Province,Gicumbi,Bwisige,GicumbiBwisige,"15,288","17,274",,,"8,229","9,045",3.990526802,0,4328.75178,11.51151151,88.08808809,0,0,0,0,0,0.4004004,99.6,0.3,0,0
Northern Province,Gicumbi,Byumba,GicumbiByumba,"36,401","43,134","9,185","10,085","11,187","12,677",3.985783312,4834.683296,5987.279823,5.786890244,85.48353659,0,0,0,0.507621951,0,8.12195122,95.5,4.4,0,0
Northern Province,Gicumbi,Cyumba,GicumbiCyumba,"14,722","17,218",,,"8,158","9,060",4.0818463,0,4218.189205,10.3,88.5,0,0,0,0.4,0,0.7,99.6993988,0.3006012,0,0
Northern Province,Gicumbi,Giti,GicumbiGiti,"14,590","17,431",,,"8,495","8,936",4.185158501,0,4164.955758,79.73387922,18.52610031,0,0,0,0,0,1.740020471,100,0,0,0
